timestamp,ax,ay,az,gx,gy,gz
2026-03-13 14:45:38.658845,10.094,-0.129,-0.467,-0.0577,-0.0028,-0.0084
2026-03-13 14:45:38.941760,10.029,0.045,-0.285,0.0683,-0.0059,-0.0119
2026-03-13 14:45:39.256607,10.051,0.01,-0.321,-0.0485,-0.0005,-0.0055
2026-03-13 14:45:39.494432,10.137,0.041,-0.345,-0.0497,0.0015,-0.0067
2026-03-13 14:45:39.804083,10.353,-1.166,0.591,0.8179,0.12,-0.0366
2026-03-13 14:45:40.045157,15.67,-3.448,-0.33,-0.9058,0.7522,0.545
2026-03-13 14:45:40.247157,8.835,-0.766,0.455,-0.0652,0.1735,-0.5681
2026-03-13 14:45:40.457711,8.325,-1.008,-0.764,-0.2197,-0.2189,-0.1944
2026-03-13 14:45:40.745145,8.928,0.4,1.221,-0.5388,-0.1779,0.309
2026-03-13 14:45:40.970226,9.718,0.271,1.554,-0.4278,0.3357,0.2425
2026-03-13 14:45:41.183543,10.341,0.151,1.805,0.141,0.3074,0.1852
2026-03-13 14:45:41.515994,10.008,-0.129,2.749,0.6146,-0.2141,0.1491
2026-03-13 14:45:41.793470,11.823,-0.455,1.52,-0.0209,-0.1061,0.0172
2026-03-13 14:45:42.068877,9.143,-0.352,1.456,-0.0536,-0.0121,0.0304
2026-03-13 14:45:42.219493,10.046,0.113,0.891,-0.4129,-0.0969,0.0157
2026-03-13 14:45:42.532010,9.462,-0.165,1.343,-0.0265,-0.1069,-0.0995
2026-03-13 14:45:42.835955,10.211,0.177,0.958,-0.006,-0.0413,-0.1007
2026-03-13 14:45:43.216569,10.331,-0.206,0.924,-0.0044,0.0634,0.1748
2026-03-13 14:45:43.390340,10.034,-0.012,0.922,0.0025,0.0009,0.0606
2026-03-13 14:45:43.622880,10.175,-0.405,0.718,-0.1291,-0.0043,-0.0866
2026-03-13 14:45:43.810253,10.477,-0.486,0.555,-0.0348,-0.0492,-0.0771
2026-03-13 14:45:44.017241,10.135,-0.302,0.764,-0.1284,-0.0053,-0.0238
2026-03-13 14:45:44.274930,10.171,0.05,0.555,0.0578,-0.024,-0.0369
2026-03-13 14:45:44.540976,10.104,-0.364,0.931,0.1308,-0.0324,-0.0076
2026-03-13 14:45:44.754077,9.783,-0.354,0.857,-0.3115,0.0322,-0.0649
2026-03-13 14:45:45.022376,10.412,0.096,-0.151,0.0101,-0.1099,-0.0057
2026-03-13 14:45:45.180129,9.68,0.309,0.101,-0.3142,0.0344,0.028
2026-03-13 14:45:45.409232,10.187,-0.28,0.113,-0.0538,0.0043,-0.0111
2026-03-13 14:45:45.679999,10.149,-0.261,0.081,-0.0569,0.0021,-0.0059
2026-03-13 14:45:45.864360,10.106,-0.223,0.098,-0.0485,-0.0012,-0.0108
2026-03-13 14:45:46.152487,10.108,-0.371,0.103,-0.1007,0.0033,0.0001
2026-03-13 14:45:46.397531,10.139,-0.206,0.117,-0.0504,0.0139,-0.0226
2026-03-13 14:45:46.614792,10.077,-0.261,0.101,-0.049,0.0027,-0.0109
2026-03-13 14:45:46.869962,10.161,-0.208,0.091,-0.0505,0.0003,-0.0075
2026-03-13 14:45:47.146068,9.641,-0.211,-0.177,0.4495,-0.0052,-0.0281
2026-03-13 14:45:47.349121,10.154,-0.249,0.005,-0.0502,-0.0011,-0.0151
