timestamp,ax,ay,az,gx,gy,gz
2026-03-13 14:40:08.918711,-1.135,0.124,-9.728,0.1199,-0.0003,-0.1947
2026-03-13 14:40:09.159672,-1.401,0.354,-9.73,0.0035,0.0602,0.0381
2026-03-13 14:40:09.403650,-0.881,0.453,-9.663,-0.1348,0.0597,-0.0336
2026-03-13 14:40:09.623543,-0.697,0.127,-9.122,-0.0501,0.0013,0.1913
2026-03-13 14:40:09.960904,-0.819,0.563,-10.561,0.1937,-0.2485,-0.1331
2026-03-13 14:40:10.345742,-0.685,0.294,-9.634,-0.0745,-0.0686,0.0914
2026-03-13 14:40:10.612297,-0.883,0.737,-9.546,-0.0005,0.0173,-0.0156
2026-03-13 14:40:10.772948,-0.97,0.644,-9.711,-0.0831,0.0529,-0.0176
2026-03-13 14:40:11.090760,-0.915,0.529,-9.677,-0.0821,0.0674,-0.1242
2026-03-13 14:40:11.346598,-0.953,0.728,-9.608,-0.008,0.0091,-0.0077
2026-03-13 14:40:11.547181,-0.761,0.599,-9.912,-0.0931,0.0366,-0.0995
2026-03-13 14:40:11.743385,-0.792,0.455,-9.893,-0.0245,-0.0195,-0.0044
2026-03-13 14:40:11.942338,-0.824,0.541,-9.546,-0.0133,-0.0392,-0.0108
2026-03-13 14:40:12.156380,-0.713,0.397,-9.965,-0.0348,-0.0464,-0.0256
2026-03-13 14:40:12.476727,-0.879,0.484,-9.565,-0.0121,0.0582,-0.0157
2026-03-13 14:40:12.695318,-0.903,0.417,-9.732,-0.0019,0.1816,-0.1507
2026-03-13 14:40:12.896264,-0.68,0.34,-9.84,0.0157,0.0902,-0.1239
2026-03-13 14:40:13.227410,-0.656,0.371,-9.847,0.0121,-0.0051,-0.1492
2026-03-13 14:40:13.444764,-0.725,0.062,-9.843,-0.0636,0.0417,0.0622
2026-03-13 14:40:13.738357,-0.874,0.0,-10.022,-0.0333,0.0608,-0.0176
2026-03-13 14:40:20.003943,7.468,-5.42,4.334,-0.0494,-0.0005,-0.0127
2026-03-13 14:40:20.292010,7.436,-5.418,4.398,-0.0469,0.0009,-0.0092
2026-03-13 14:40:20.561249,7.456,-5.382,4.367,-0.049,-0.0013,-0.0095
2026-03-13 14:40:20.752387,7.393,-5.432,4.336,-0.0477,-0.0008,-0.0113
2026-03-13 14:40:20.958210,7.432,-5.456,4.35,-0.0497,0.0001,-0.0085
2026-03-13 14:40:21.275351,7.415,-5.428,4.386,-0.0489,-0.0024,-0.0136
2026-03-13 14:40:21.536513,7.479,-5.432,4.319,-0.0486,0.0021,-0.0083
