timestamp,ax,ay,az,gx,gy,gz
2026-03-14 19:31:24.891733,10.048,-0.275,0.373,-0.0294,-0.0354,-0.0211
2026-03-14 19:31:25.138658,10.092,-0.254,0.575,-0.0176,-0.0089,-0.0141
2026-03-14 19:31:25.281759,10.039,-0.476,0.39,-0.0678,-0.0108,0.0199
2026-03-14 19:31:25.442650,10.127,-0.395,0.29,-0.0165,0.062,-0.0257
2026-03-14 19:31:25.704412,10.221,-0.508,0.199,-0.0533,-0.0453,-0.0017
2026-03-14 19:31:25.960465,10.072,-0.318,0.431,-0.0314,-0.0661,-0.0345
2026-03-14 19:31:26.087513,10.099,-0.306,0.273,0.0171,-0.0017,-0.0123
2026-03-14 19:31:26.323789,10.25,-0.522,0.18,-0.0703,-0.0691,0.0759
2026-03-14 19:31:26.554796,9.905,-0.632,-0.089,-0.0854,0.0506,-0.0145
2026-03-14 19:31:26.749953,10.096,-0.606,0.113,-0.0628,0.0831,0.0382
2026-03-14 19:31:26.885622,10.252,-0.666,0.364,-0.0337,0.0518,-0.1091
2026-03-14 19:31:27.175488,10.195,-0.649,-0.034,-0.0822,-0.0329,-0.0199
2026-03-14 19:31:27.320646,10.051,-0.584,-0.029,-0.0714,-0.0221,-0.0288
2026-03-14 19:31:27.521823,9.912,-0.575,-0.11,-0.0673,0.0183,-0.0105
2026-03-14 19:31:27.841814,10.084,-0.733,0.215,-0.0807,-0.0163,-0.0157
2026-03-14 19:31:28.052919,10.032,-0.603,0.108,-0.0388,0.0233,-0.0782
2026-03-14 19:31:28.264020,10.068,-0.589,-0.048,-0.0648,0.0677,-0.0136
2026-03-14 19:31:28.434712,10.096,-0.517,-0.151,-0.0365,-0.016,-0.052
2026-03-14 19:31:28.651133,10.108,-0.871,-0.005,-0.0653,0.0702,0.0156
2026-03-14 19:31:28.769144,10.094,-0.419,0.031,-0.0353,0.0734,-0.0149
2026-03-14 19:31:28.975918,10.123,-0.678,0.108,-0.0586,-0.0185,0.037
2026-03-14 19:31:29.140794,10.001,-0.596,-0.053,-0.0112,0.0144,0.0305
