timestamp,ax,ay,az,gx,gy,gz
2026-03-13 14:24:55.878735,10.092,-1.013,-0.019,-0.0517,0.002,-0.0151
2026-03-13 14:24:56.105676,10.135,-1.003,0.091,-0.0529,0.004,-0.0087
2026-03-13 14:24:56.308774,10.036,-1.077,-0.019,-0.0498,-0.0017,-0.0119
2026-03-13 14:24:56.524856,10.132,-1.027,0.079,-0.0492,0.0035,-0.0095
2026-03-13 14:24:56.952856,10.087,-1.02,0.091,-0.0532,0.0051,-0.0113
2026-03-13 14:24:57.460638,9.986,-0.989,0.093,-0.0501,0.0056,-0.0097
2026-03-13 14:24:57.812237,10.192,-0.955,0.012,-0.0522,0.0096,-0.0193
2026-03-13 14:24:58.026197,10.017,-0.96,0.062,-0.0497,0.0019,-0.014
2026-03-13 14:24:58.559229,10.108,-0.962,0.034,-0.0518,0.0035,-0.0136
2026-03-13 14:24:58.776799,10.01,-0.979,0.055,-0.0502,0.002,-0.0242
2026-03-13 14:24:58.993639,10.06,-1.022,0.091,-0.0504,0.002,-0.0128
2026-03-13 14:24:59.221626,10.084,-0.986,0.002,-0.0509,0.0083,-0.0116
2026-03-13 14:24:59.429224,9.974,-1.01,0.084,-0.0532,-0.0012,-0.0132
2026-03-13 14:24:59.969054,9.993,-0.989,0.072,-0.0521,0.0041,-0.0097
2026-03-13 14:25:00.390161,9.957,-0.991,0.043,-0.0524,0.0013,-0.0108
2026-03-13 14:25:01.031489,10.111,-1.008,0.017,-0.0486,0.0015,-0.0107
2026-03-13 14:25:01.249017,10.094,-1.02,0.045,-0.0512,0.0047,-0.0084
2026-03-13 14:25:01.464891,10.034,-0.996,0.194,-0.0498,0.0047,-0.0156
2026-03-13 14:25:01.903797,10.065,-0.986,0.096,-0.0513,-0.0023,-0.0143
2026-03-13 14:25:02.535329,10.135,-0.974,0.045,-0.0545,0.0044,-0.018
2026-03-13 14:25:02.750292,9.981,-1.003,0.043,-0.0517,0.0003,-0.0073
2026-03-13 14:25:02.966840,10.058,-0.991,0.038,-0.0488,-0.002,-0.0135
2026-03-13 14:25:03.503038,10.017,-0.998,0.026,-0.049,-0.0009,-0.0103
2026-03-13 14:25:03.716922,10.104,-1.075,0.117,-0.0513,0.0037,-0.0113
2026-03-13 14:25:03.934779,10.063,-0.972,0.129,-0.0534,0.0075,-0.0107
2026-03-13 14:25:04.424890,10.008,-0.97,0.091,-0.0501,0.0021,-0.0184
2026-03-13 14:25:04.580013,10.027,-1.037,0.156,-0.0504,-0.0019,-0.0157
2026-03-13 14:25:04.793922,10.106,-0.991,-0.014,-0.0516,0.0072,-0.0087
2026-03-13 14:25:05.011291,10.175,-0.955,0.057,-0.0522,0.0071,-0.0065
2026-03-13 14:25:05.547315,10.123,-1.209,0.05,-0.0525,0.0067,0.0016
2026-03-13 14:25:05.767790,10.01,-1.109,0.136,-0.0476,0.0031,-0.0253
2026-03-13 14:25:05.982629,10.149,-1.07,-0.029,-0.0534,-0.0045,-0.0125
2026-03-13 14:25:06.627508,10.02,-0.996,0.034,-0.0521,0.0091,-0.0209
2026-03-13 14:25:06.849575,9.996,-0.958,0.067,-0.0514,0.0012,-0.0104
2026-03-13 14:25:07.054101,10.075,-1.044,0.055,-0.0512,0.0012,-0.0036
2026-03-13 14:25:07.590010,9.998,-1.022,0.05,-0.049,-0.0012,-0.0057
2026-03-13 14:25:07.913578,9.998,-1.063,0.069,-0.051,-0.0061,-0.0089
2026-03-13 14:25:08.136130,10.132,-1.058,0.187,-0.0529,0.0052,-0.0097
2026-03-13 14:25:08.372586,9.993,-0.984,0.01,-0.0528,0.0041,-0.0143
2026-03-13 14:25:08.567880,10.118,-0.962,0.017,-0.0517,-0.0017,-0.0092
2026-03-13 14:25:09.042271,10.104,-0.984,0.194,-0.0504,-0.0025,0.0052
2026-03-13 14:25:09.311344,10.132,-0.955,0.026,-0.0489,0.0063,-0.0105
2026-03-13 14:25:09.535971,10.039,-0.991,0.034,-0.0518,0.0032,-0.0092
2026-03-13 14:25:10.060736,10.053,-1.051,0.002,-0.0489,-0.0012,-0.0112
2026-03-13 14:25:10.296776,9.977,-1.013,0.048,-0.0509,-0.0008,-0.0099
