ts_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,imu_temp_c,ambient_temp_c,freefall,logging,samples,battery_v,esp32_temp_c
57549,0.0464,0.0669,1.0316,-0.14,0.35,-0.70,28.38,26.8125,0,0,0,3.22,87.22
57559,0.0444,0.0649,1.0365,-0.14,0.21,-0.70,28.38,26.8125,0,0,0,3.22,87.22
57578,0.0410,0.0673,1.0341,-0.14,0.28,-0.56,28.39,26.8125,0,0,0,3.22,87.22
57607,0.0459,0.0693,1.0355,-0.07,0.07,-0.70,28.37,26.8125,0,0,0,3.22,87.78
57645,0.0454,0.0664,1.0341,0.00,0.42,-0.70,28.35,26.8750,0,0,0,3.21,87.22
57674,0.0415,0.0669,1.0341,0.07,0.42,-0.77,28.37,26.8750,0,0,0,3.22,86.67
57712,0.0425,0.0712,1.0355,-0.07,0.49,-0.77,28.39,26.8750,0,0,0,3.22,87.78
57751,0.0425,0.0664,1.0331,0.00,0.28,-0.63,28.37,26.8750,0,0,0,3.21,87.78
57780,0.0400,0.0644,1.0331,0.00,0.35,-0.70,28.33,26.8750,0,0,0,3.21,87.78
57818,0.0429,0.0678,1.0331,-0.14,0.28,-0.77,28.36,26.8750,0,0,0,3.21,87.22
57847,0.0420,0.0654,1.0336,0.07,0.28,-0.63,28.38,26.8750,0,0,0,3.22,87.78
57885,0.0395,0.0688,1.0346,-0.07,0.42,-0.70,28.37,26.8750,0,0,0,3.22,88.33
57914,0.0405,0.0664,1.0326,0.00,0.07,-0.70,28.38,26.8750,0,0,0,3.22,88.33
57953,0.0381,0.0708,1.0355,-0.14,0.28,-0.70,28.38,26.8750,0,0,0,3.21,87.22
57991,0.0449,0.0673,1.0350,0.00,0.42,-0.77,28.41,26.8750,0,0,0,3.21,88.33
58020,0.0420,0.0678,1.0350,0.14,0.49,-0.77,28.34,26.8750,0,0,0,3.21,88.33
58058,0.0459,0.0673,1.0316,-0.14,0.21,-0.77,28.36,26.8750,0,0,0,3.21,88.33
