ts_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,imu_temp_c,ambient_temp_c,freefall,logging,samples,battery_v,esp32_temp_c
836147,-0.1010,-0.0444,0.0094,1.16,-1.95,-7.15,26.65,25.2500,1,0,0,3.18,76.11
836185,-0.1215,-0.0923,-0.0150,-3.67,2.25,-7.01,26.73,25.2500,0,0,0,3.17,76.11
836224,-0.1137,-0.0952,-0.0086,-8.99,6.24,-7.15,26.73,25.2500,1,0,0,3.17,76.67
836262,-0.1025,-0.0117,0.0333,-12.28,10.16,-7.08,26.71,25.2500,1,0,0,3.17,76.11
836310,-0.0766,-0.0518,-0.0218,-15.92,14.15,-7.22,26.70,25.2500,1,0,0,3.18,76.11
836387,-0.0625,0.0244,0.0216,-19.35,19.75,-7.36,26.70,25.2500,1,0,0,3.17,76.11
836426,0.0141,0.0527,0.0485,-19.70,20.87,-7.36,26.70,25.2500,1,0,0,3.17,76.11
836464,0.0400,0.1308,0.0309,-18.23,20.31,-7.43,26.70,25.2500,1,0,0,3.17,76.11
836512,0.0737,0.2083,0.0616,-13.26,17.93,-7.50,26.73,25.2500,0,0,0,3.17,76.67
836551,0.0893,0.2420,0.0626,-7.80,14.92,-7.50,26.73,25.1875,0,0,0,3.17,76.11
836589,0.1039,0.2513,0.0514,-1.99,11.77,-7.57,26.75,25.1875,0,0,0,3.17,76.11
836628,0.1147,0.2235,0.0616,3.75,7.64,-7.64,26.70,25.1875,0,0,0,3.18,76.11
836666,0.1093,0.1542,0.0602,7.11,3.58,-7.64,26.73,25.1875,0,0,0,3.17,76.67
836714,0.0698,0.1766,0.0524,11.66,0.15,-7.64,26.73,25.1875,0,0,0,3.17,76.67
836753,-0.0673,0.2132,-0.2912,16.84,1.55,-7.08,26.69,25.1875,0,0,0,3.17,76.11
836791,0.2128,-0.0503,0.2671,10.40,-7.55,-7.78,26.69,25.1875,0,0,0,3.17,76.11
836878,0.0498,0.0332,0.0158,12.78,-8.04,-7.64,26.70,25.1875,1,0,0,3.17,76.11
836916,0.0312,0.0136,0.0026,10.05,-8.88,-7.57,26.70,25.1875,1,0,0,3.17,76.11
836954,0.0820,-0.0147,0.1016,8.16,-10.70,-7.57,26.73,25.1875,1,0,0,3.17,76.11
836993,0.0810,-0.0078,0.0460,5.78,-12.17,-7.43,26.73,25.1875,1,0,0,3.17,76.11
837031,0.0669,-0.0371,0.0255,3.40,-13.64,-7.22,26.69,25.1875,1,0,0,3.17,76.67
837079,0.0127,0.0317,0.0416,0.11,-14.83,-7.15,26.73,25.1875,1,0,0,3.17,76.11
837118,0.0522,0.0053,0.0567,-1.78,-15.74,-7.22,26.71,25.1875,1,0,0,3.17,76.11
837156,0.0429,0.0712,0.0811,-1.85,-16.65,-7.01,26.75,25.1875,1,0,0,3.17,76.11
837195,0.0254,0.1356,0.0597,0.32,-17.91,-6.94,26.71,25.1875,0,0,0,3.17,76.11
837243,0.0161,0.1678,0.0460,4.24,-18.47,-6.94,26.72,25.1875,0,0,0,3.17,76.11
837281,-0.0049,0.1703,0.0402,8.51,-17.84,-7.08,26.75,25.1875,0,0,0,3.17,76.11
837320,-0.0371,0.1371,0.0133,11.80,-16.79,-7.01,26.71,25.1875,1,0,0,3.17,76.11
837358,-0.0337,0.1405,0.0138,13.76,-15.81,-7.08,26.74,25.1875,1,0,0,3.17,75.56
