ts_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,imu_temp_c,ambient_temp_c,freefall,logging,samples,battery_v,esp32_temp_c
12149,-0.0869,0.0063,0.9998,0.79,0.52,-0.22,27.70,25.7500,0,0,0,3.12,77.78
12158,-0.0849,0.0059,0.9983,0.65,0.45,-0.08,27.70,25.7500,0,0,0,3.12,77.78
12168,-0.0820,0.0020,0.9983,0.72,0.31,-0.15,27.67,25.7500,0,0,0,3.12,77.22
12178,-0.0849,0.0024,0.9988,0.65,0.38,0.06,27.67,25.7500,0,0,0,3.12,77.22
12187,-0.0834,0.0029,0.9959,0.79,0.66,0.06,27.69,25.7500,0,0,0,3.12,77.78
12197,-0.0825,0.0059,0.9934,0.72,0.17,0.06,27.69,25.7500,0,0,0,3.12,77.22
12216,-0.0883,0.0034,1.0002,0.79,0.24,-0.01,27.63,25.7500,0,0,0,3.12,77.22
12254,-0.0834,0.0024,0.9959,0.51,0.52,-0.01,27.66,25.7500,0,0,0,3.12,77.22
12293,-0.0859,0.0049,0.9954,0.86,0.38,-0.01,27.66,25.7500,0,0,0,3.12,77.78
12331,-0.0859,0.0039,0.9949,0.79,0.59,-0.08,27.64,25.7500,0,0,0,3.12,77.78
12389,-0.0874,0.0044,0.9954,0.65,0.31,-0.08,27.68,25.7500,0,0,0,3.12,76.67
12437,-0.0849,0.0029,0.9963,0.86,0.45,0.06,27.67,25.7500,0,0,0,3.12,76.67
12475,-0.0859,-0.0005,0.9915,0.58,0.24,-0.01,27.65,25.7500,0,0,0,3.12,78.33
12514,-0.0830,0.0039,0.9978,0.86,0.38,-0.08,27.72,25.7500,0,0,0,3.12,76.11
12552,-0.0874,0.0015,0.9939,0.79,0.66,-0.08,27.62,25.7500,0,0,0,3.12,76.11
12591,-0.0859,0.0063,0.9954,0.72,0.03,-0.01,27.67,25.7500,0,0,0,3.12,77.78
12629,-0.0854,0.0078,0.9968,0.93,0.52,-0.08,27.60,25.7500,0,0,0,3.11,78.33
12668,-0.0869,-0.0005,0.9944,0.72,0.38,0.13,27.63,25.7500,0,0,0,3.12,78.33
12706,-0.0849,0.0068,0.9973,0.72,0.31,-0.08,27.59,25.7500,0,0,0,3.11,78.33
12745,-0.0849,0.0020,0.9920,0.79,0.45,-0.01,27.67,25.7500,0,0,0,3.11,77.78
12773,-0.0859,0.0044,0.9968,0.93,0.38,-0.01,27.59,25.7500,0,0,0,3.11,78.33
12812,-0.0834,0.0010,0.9924,0.72,0.31,0.06,27.61,25.7500,0,0,0,3.11,78.33
12850,-0.0874,0.0034,0.9944,0.65,0.38,0.06,27.59,25.7500,0,0,0,3.11,79.44
12889,-0.0834,0.0044,0.9959,0.72,0.31,-0.01,27.65,25.7500,0,0,0,3.11,79.44
12927,-0.0815,0.0020,0.9973,0.58,0.59,-0.22,27.55,25.7500,0,0,0,3.11,78.89
12966,-0.0854,0.0054,0.9939,0.79,0.59,0.06,27.54,25.7500,0,0,0,3.11,78.89
13014,-0.0859,0.0024,0.9944,0.79,0.17,-0.08,27.59,25.7500,0,0,0,3.11,78.33
13062,-0.0834,0.0020,0.9915,0.72,0.38,-0.08,27.66,25.7500,0,0,0,3.11,78.33
13091,-0.0854,0.0024,0.9963,0.93,0.52,-0.15,27.68,25.7500,0,0,0,3.11,78.89
13129,-0.0849,0.0044,0.9963,0.79,0.31,-0.08,27.62,25.7500,0,0,0,3.11,77.78
13168,-0.0854,0.0049,0.9949,0.79,0.73,-0.15,27.64,25.7500,0,0,0,3.11,78.89
13216,-0.0825,0.0044,0.9949,0.79,0.38,-0.08,27.58,25.7500,0,0,0,3.11,78.89
13235,-0.0854,0.0020,0.9954,0.79,0.45,-0.08,27.59,25.7500,0,0,0,3.11,79.44
13244,-0.0864,0.0059,0.9973,0.65,0.38,0.06,27.59,25.7500,0,0,0,3.11,79.44
13254,-0.0810,0.0054,0.9939,0.79,0.31,-0.01,27.61,25.7500,0,0,0,3.11,79.44
13264,-0.0859,0.0029,0.9949,0.72,0.45,-0.01,27.61,25.7500,0,0,0,3.11,77.78
13273,-0.0834,0.0044,0.9924,0.72,0.45,-0.01,27.59,25.7500,0,0,0,3.11,79.44
13283,-0.0883,0.0029,0.9954,0.72,0.38,-0.01,27.59,25.7500,0,0,0,3.11,78.89
13293,-0.0854,0.0063,0.9934,0.79,0.45,-0.01,27.62,25.7500,0,0,0,3.11,79.44
13302,-0.0883,0.0029,0.9944,0.72,0.38,-0.01,27.62,25.7500,0,0,0,3.11,78.89
13312,-0.0874,0.0044,0.9954,0.65,0.45,-0.15,27.62,25.7500,0,0,0,3.11,77.78
13321,-0.0854,0.0044,0.9973,0.86,0.45,-0.01,27.62,25.7500,0,0,0,3.11,78.89
13331,-0.0854,0.0034,0.9934,0.72,0.38,0.06,27.58,25.7500,0,0,0,3.11,78.89
13341,-0.0849,0.0034,0.9959,0.72,0.38,-0.08,27.58,25.7500,0,0,0,3.11,78.89
13350,-0.0854,0.0034,0.9959,0.86,0.38,-0.01,27.64,25.7500,0,0,0,3.11,78.33
13360,-0.0825,0.0029,0.9944,0.79,0.45,-0.08,27.64,25.7500,0,0,0,3.11,77.78
13369,-0.0839,0.0044,0.9959,0.65,0.31,-0.08,27.59,25.7500,0,0,0,3.11,78.89
13379,-0.0898,0.0020,0.9959,0.79,0.31,-0.01,27.59,25.7500,0,0,0,3.11,79.44
13389,-0.0849,0.0059,0.9939,0.79,0.24,0.06,27.57,25.7500,0,0,0,3.11,79.44
13398,-0.0854,0.0054,0.9939,0.72,0.38,0.06,27.57,25.7500,0,0,0,3.11,78.89
13408,-0.0849,0.0049,0.9973,0.65,0.45,-0.08,27.62,25.7500,0,0,0,3.11,77.22
13417,-0.0834,0.0044,0.9939,0.79,0.45,-0.15,27.62,25.7500,0,0,0,3.11,78.89
13427,-0.0878,0.0059,0.9959,0.79,0.38,0.06,27.64,25.7500,0,0,0,3.11,79.44
13437,-0.0849,0.0063,0.9963,0.65,0.38,-0.01,27.64,25.7500,0,0,0,3.11,79.44
13446,-0.0854,0.0059,0.9973,0.72,0.38,-0.01,27.57,25.7500,0,0,0,3.11,78.33
13456,-0.0874,0.0039,0.9973,0.72,0.52,-0.08,27.57,25.7500,0,0,0,3.11,79.44
13466,-0.0820,0.0039,0.9939,0.65,0.38,-0.01,27.57,25.7500,0,0,0,3.11,80.00
13475,-0.0859,0.0010,0.9949,0.58,0.31,0.06,27.59,25.7500,0,0,0,3.11,79.44
13485,-0.0854,0.0044,0.9934,0.86,0.38,-0.08,27.59,25.7500,0,0,0,3.11,79.44
13494,-0.0849,0.0039,0.9959,0.79,0.38,-0.01,27.64,25.7500,0,0,0,3.11,79.44
13504,-0.0844,0.0034,0.9978,0.86,0.52,-0.08,27.64,25.7500,0,0,0,3.11,77.78
13514,-0.0859,0.0044,0.9944,0.93,0.59,-0.08,27.64,25.7500,0,0,0,3.11,79.44
13523,-0.0839,0.0024,0.9954,0.72,0.38,-0.01,27.64,25.7500,0,0,0,3.10,77.78
13533,-0.0844,0.0054,0.9920,0.79,0.45,-0.08,27.59,25.7500,0,0,0,3.11,79.44
13542,-0.0854,0.0039,0.9910,0.72,0.31,-0.01,27.59,25.7500,0,0,0,3.11,79.44
13552,-0.0869,0.0039,0.9949,0.86,0.45,-0.01,27.57,25.7500,0,0,0,3.11,79.44
13562,-0.0888,0.0054,0.9924,0.79,0.38,-0.01,27.57,25.7500,0,0,0,3.11,79.44
13571,-0.0834,0.0034,0.9968,0.79,0.31,-0.01,27.56,25.7500,0,0,0,3.11,80.00
13581,-0.0849,0.0068,0.9929,0.72,0.45,-0.08,27.56,25.7500,0,0,0,3.10,79.44
13590,-0.0854,0.0005,0.9959,0.72,0.45,0.06,27.61,25.7500,0,0,0,3.11,79.44
13600,-0.0839,0.0039,0.9954,0.79,0.52,-0.08,27.61,25.7500,0,0,0,3.11,79.44
13610,-0.0844,0.0024,0.9978,0.72,0.45,0.06,27.64,25.7500,0,0,0,3.10,80.00
13619,-0.0825,0.0044,0.9949,0.72,0.38,-0.01,27.64,25.7500,0,0,0,3.11,79.44
13629,-0.0849,0.0034,0.9949,0.79,0.52,-0.08,27.57,25.7500,0,0,0,3.10,77.78
13639,-0.0888,0.0054,0.9968,0.65,0.66,-0.15,27.57,25.7500,0,0,0,3.11,79.44
13648,-0.0874,0.0044,0.9924,0.65,0.45,-0.08,27.64,25.7500,0,0,0,3.11,77.78
13658,-0.0834,0.0063,0.9934,0.65,0.38,-0.08,27.64,25.7500,0,0,0,3.11,77.22
13667,-0.0844,0.0029,0.9954,0.72,0.38,-0.01,27.57,25.7500,0,0,0,3.11,78.89
13677,-0.0869,0.0044,0.9963,0.93,0.45,0.06,27.57,25.8125,0,0,0,3.11,78.89
13687,-0.0810,0.0063,0.9944,0.79,0.38,-0.01,27.56,25.8125,0,0,0,3.11,80.00
13696,-0.0849,0.0049,0.9929,0.65,0.38,-0.15,27.56,25.8125,0,0,0,3.11,79.44
13706,-0.0820,0.0063,0.9959,0.65,0.24,-0.08,27.64,25.8125,0,0,0,3.11,78.89
13715,-0.0854,0.0059,0.9939,0.72,0.38,-0.01,27.64,25.8125,0,0,0,3.11,79.44
13725,-0.0830,0.0039,0.9924,0.79,0.38,-0.08,27.58,25.8125,0,0,0,3.10,77.78
13735,-0.0864,0.0024,0.9949,0.72,0.38,-0.01,27.58,25.8125,0,0,0,3.10,79.44
13744,-0.0864,0.0063,0.9954,0.86,0.31,0.06,27.62,25.8125,0,0,0,3.11,79.44
13754,-0.0874,0.0063,0.9924,0.72,0.45,-0.01,27.62,25.8125,0,0,0,3.11,79.44
13764,-0.0859,0.0034,0.9944,0.65,0.24,-0.01,27.55,25.8125,0,0,0,3.10,80.00
13773,-0.0864,0.0054,0.9915,0.65,0.31,-0.01,27.55,25.8125,0,0,0,3.11,77.22
13783,-0.0844,0.0015,0.9939,0.79,0.38,-0.08,27.68,25.8125,0,0,0,3.11,76.11
13792,-0.0874,0.0044,0.9954,0.72,0.45,-0.01,27.68,25.8125,0,0,0,3.11,76.67
13802,-0.0830,0.0039,0.9910,0.65,0.38,-0.01,27.64,25.8125,0,0,0,3.11,75.56
13812,-0.0839,0.0059,0.9929,0.72,0.38,-0.01,27.64,25.8125,0,0,0,3.11,75.00
13821,-0.0883,0.0039,0.9924,0.72,0.38,-0.01,27.64,25.8125,0,0,0,3.11,74.44
13831,-0.0815,0.0015,0.9939,0.72,0.38,-0.01,27.64,25.8125,0,0,0,3.12,73.89
13840,-0.0830,0.0044,0.9963,0.72,0.31,0.06,27.62,25.8125,0,0,0,3.12,73.89
13850,-0.0834,0.0049,0.9939,0.72,0.45,-0.01,27.62,25.8125,0,0,0,3.12,73.33
13860,-0.0825,0.0029,0.9934,0.72,0.38,0.06,27.64,25.8125,0,0,0,3.12,73.33
13869,-0.0869,0.0044,0.9939,0.72,0.38,-0.08,27.64,25.8125,0,0,0,3.12,73.33
13879,-0.0864,0.0039,0.9949,0.72,0.38,0.06,27.63,25.8125,0,0,0,3.12,72.78
13888,-0.0854,0.0039,0.9944,0.79,0.31,-0.01,27.63,25.8125,0,0,0,3.12,72.78
13898,-0.0878,0.0015,0.9963,0.72,0.38,-0.01,27.63,25.8125,0,0,0,3.13,72.78
13908,-0.0849,0.0044,0.9934,0.72,0.38,-0.08,27.63,25.8125,0,0,0,3.13,72.78
13917,-0.0844,0.0059,0.9949,0.65,0.31,-0.01,27.62,25.8125,0,0,0,3.13,72.78
13927,-0.0825,0.0024,0.9949,0.72,0.38,-0.15,27.62,25.8125,0,0,0,3.13,72.78
13937,-0.0830,0.0029,0.9920,0.79,0.45,-0.08,27.62,25.8125,0,0,0,3.13,72.22
13946,-0.0839,0.0034,0.9949,0.72,0.45,-0.01,27.62,25.8125,0,0,0,3.13,72.22
13956,-0.0839,0.0039,0.9983,0.72,0.38,-0.01,27.63,25.8125,0,0,0,3.14,72.22
13965,-0.0869,0.0029,0.9915,0.72,0.38,-0.15,27.63,25.8125,0,0,0,3.14,72.22
13975,-0.0878,0.0024,0.9988,0.65,0.38,-0.08,27.63,25.8125,0,0,0,3.14,72.22
13985,-0.0888,0.0044,0.9910,1.00,0.31,-0.15,27.63,25.8125,0,0,0,3.14,72.22
13994,-0.0874,0.0034,0.9993,0.58,0.38,-0.01,27.65,25.8125,0,0,0,3.14,72.22
14004,-0.0854,-0.0010,0.9920,0.93,0.31,-0.08,27.65,25.8125,0,0,0,3.14,72.22
14013,-0.0839,0.0034,0.9959,0.65,0.52,0.06,27.66,25.8125,0,0,0,3.14,72.22
14023,-0.0839,0.0078,0.9963,0.79,0.45,-0.01,27.66,25.8125,0,0,0,3.14,72.22
14033,-0.0830,0.0122,0.9939,0.86,0.38,0.06,27.64,25.8125,0,0,0,3.14,71.67
14042,-0.0825,0.0054,0.9983,0.65,0.45,-0.08,27.64,25.8125,0,0,0,3.14,72.22
14052,-0.0839,0.0049,0.9959,0.79,0.38,0.06,27.62,25.8125,0,0,0,3.14,72.22
14061,-0.0869,0.0029,0.9934,0.79,0.38,-0.08,27.62,25.8125,0,0,0,3.15,71.67
14071,-0.0893,0.0024,0.9954,0.86,0.52,-0.08,27.67,25.8125,0,0,0,3.15,72.22
14081,-0.0874,0.0024,0.9959,0.86,0.38,-0.01,27.67,25.8125,0,0,0,3.15,71.67
14090,-0.0874,0.0024,0.9954,0.72,0.45,0.06,27.60,25.8125,0,0,0,3.15,71.67
14100,-0.0839,0.0068,0.9983,0.79,0.31,0.06,27.60,25.8125,0,0,0,3.15,71.67
14110,-0.0844,0.0054,0.9939,0.79,0.31,-0.01,27.67,25.8125,0,0,0,3.14,71.67
14119,-0.0830,0.0034,0.9954,0.72,0.38,-0.01,27.67,25.8125,0,0,0,3.15,71.67
14129,-0.0815,0.0044,0.9939,0.79,0.38,-0.01,27.61,25.8125,0,0,0,3.15,71.11
14138,-0.0825,0.0024,0.9963,0.65,0.45,0.13,27.61,25.8125,0,0,0,3.15,71.67
14148,-0.0874,0.0073,0.9944,0.79,0.45,-0.08,27.66,25.8125,0,0,0,3.15,71.11
14158,-0.0883,0.0049,0.9968,0.79,0.38,-0.01,27.66,25.8125,0,0,0,3.15,71.67
14167,-0.0893,0.0034,0.9949,0.79,0.38,-0.08,27.68,25.8125,0,0,0,3.15,71.11
14177,-0.0834,0.0015,0.9954,0.65,0.38,-0.01,27.68,25.8125,0,0,0,3.15,71.67
14186,-0.0844,0.0039,0.9954,0.72,0.31,0.20,27.60,25.8125,0,0,0,3.15,71.67
14196,-0.0839,0.0020,0.9963,0.65,0.31,-0.01,27.60,25.8125,0,0,0,3.15,71.67
14206,-0.0849,0.0029,0.9963,0.79,0.31,-0.01,27.63,25.8125,0,0,0,3.15,71.67
14215,-0.0820,0.0049,0.9949,0.79,0.45,-0.08,27.63,25.8125,0,0,0,3.15,71.67
14225,-0.0844,0.0059,0.9949,0.79,0.38,-0.08,27.63,25.8125,0,0,0,3.15,71.11
14235,-0.0805,0.0029,0.9954,0.79,0.38,-0.08,27.62,25.8125,0,0,0,3.15,71.11
14244,-0.0849,0.0010,0.9949,0.72,0.38,-0.01,27.62,25.8125,0,0,0,3.15,71.11
14254,-0.0834,0.0063,0.9959,0.79,0.45,-0.01,27.67,25.8125,0,0,0,3.15,71.11
14263,-0.0849,0.0024,0.9963,0.72,0.38,-0.01,27.67,25.8125,0,0,0,3.15,71.11
14273,-0.0849,0.0073,0.9963,0.79,0.38,0.06,27.64,25.8125,0,0,0,3.15,71.11
14283,-0.0830,0.0054,0.9954,0.65,0.38,0.06,27.64,25.8125,0,0,0,3.15,71.11
14292,-0.0834,0.0054,0.9973,0.79,0.45,-0.01,27.67,25.8125,0,0,0,3.15,71.11
14302,-0.0844,0.0054,0.9920,0.79,0.31,-0.01,27.67,25.8125,0,0,0,3.15,71.11
14311,-0.0834,0.0034,0.9968,0.72,0.31,-0.08,27.68,25.8125,0,0,0,3.15,71.11
14321,-0.0859,0.0059,0.9949,0.79,0.38,-0.08,27.68,25.8125,0,0,0,3.15,71.11
14331,-0.0859,0.0020,0.9968,0.65,0.38,-0.01,27.64,25.8125,0,0,0,3.15,71.11
14340,-0.0869,0.0024,0.9954,0.72,0.31,-0.01,27.64,25.8125,0,0,0,3.15,71.11
14350,-0.0869,0.0005,0.9954,0.72,0.38,-0.01,27.57,25.8125,0,0,0,3.15,70.56
14359,-0.0869,0.0068,0.9963,0.72,0.45,-0.08,27.57,25.8125,0,0,0,3.15,70.56
14369,-0.0878,0.0044,0.9968,0.79,0.31,-0.01,27.58,25.8125,0,0,0,3.15,70.56
14379,-0.0859,0.0024,0.9983,0.79,0.38,-0.01,27.58,25.8125,0,0,0,3.15,70.56
14388,-0.0883,0.0039,0.9954,0.72,0.45,0.06,27.51,25.8125,0,0,0,3.15,71.11
14398,-0.0854,0.0029,0.9988,0.72,0.38,-0.08,27.51,25.8125,0,0,0,3.15,71.11
14408,-0.0834,0.0020,0.9968,0.65,0.38,-0.01,27.54,25.8125,0,0,0,3.15,70.56
14417,-0.0825,0.0029,0.9968,0.65,0.38,-0.01,27.54,25.8125,0,0,0,3.15,70.56
14427,-0.0878,0.0039,0.9959,0.72,0.38,-0.01,27.55,25.8125,0,0,0,3.15,70.56
14436,-0.0883,0.0039,0.9944,0.65,0.45,-0.01,27.55,25.8125,0,0,0,3.15,70.56
14446,-0.0854,0.0059,0.9983,0.72,0.45,-0.01,27.64,25.8125,0,0,0,3.15,70.56
14456,-0.0869,0.0000,0.9998,0.72,0.45,-0.08,27.64,25.8125,0,0,0,3.15,70.56
14465,-0.0844,0.0059,0.9959,0.65,0.45,-0.08,27.66,25.8125,0,0,0,3.15,70.56
14475,-0.0839,0.0044,0.9978,0.72,0.38,-0.01,27.66,25.8125,0,0,0,3.15,70.56
14484,-0.0859,0.0049,0.9993,0.72,0.38,-0.01,27.79,25.8125,0,0,0,3.15,70.56
14494,-0.0854,0.0024,0.9973,0.86,0.31,-0.01,27.79,25.8125,0,0,0,3.15,70.56
14504,-0.0839,0.0054,0.9973,0.72,0.45,-0.01,27.82,25.8125,0,0,0,3.15,70.56
14513,-0.0839,0.0020,0.9983,0.72,0.45,-0.08,27.82,25.8125,0,0,0,3.15,70.56
14523,-0.0849,0.0034,0.9983,0.79,0.31,-0.08,27.77,25.8125,0,0,0,3.15,70.56
14532,-0.0864,0.0010,0.9949,0.72,0.38,0.06,27.77,25.8125,0,0,0,3.15,70.56
14542,-0.0874,0.0005,0.9949,0.79,0.31,-0.08,27.71,25.8125,0,0,0,3.15,70.56
14552,-0.0864,0.0029,0.9978,0.72,0.31,-0.08,27.71,25.8125,0,0,0,3.15,70.56
14561,-0.0874,0.0034,0.9934,0.79,0.38,-0.08,27.65,25.8125,0,0,0,3.15,70.00
14571,-0.0878,0.0034,0.9973,0.72,0.45,-0.01,27.65,25.8125,0,0,0,3.15,70.56
14581,-0.0830,-0.0005,0.9963,0.72,0.38,-0.01,27.69,25.8125,0,0,0,3.15,70.56
14590,-0.0864,0.0063,0.9973,0.79,0.31,-0.01,27.69,25.8125,0,0,0,3.15,70.56
14600,-0.0849,0.0020,0.9954,0.72,0.45,-0.01,27.71,25.8125,0,0,0,3.15,70.56
14609,-0.0844,0.0039,0.9983,0.72,0.38,0.06,27.71,25.8125,0,0,0,3.15,70.00
14619,-0.0893,0.0073,0.9978,0.79,0.38,-0.01,27.73,25.8125,0,0,0,3.15,70.00
14629,-0.0844,0.0020,0.9963,0.72,0.38,-0.08,27.73,25.8125,0,0,0,3.15,70.00
14638,-0.0874,0.0044,1.0002,0.72,0.45,0.13,27.73,25.8125,0,0,0,3.15,70.00
14648,-0.0825,0.0063,0.9983,0.65,0.45,0.06,27.73,25.8125,0,0,0,3.15,70.00
14657,-0.0844,0.0044,0.9949,0.72,0.45,-0.08,27.70,25.8125,0,0,0,3.15,70.00
14667,-0.0844,0.0044,0.9973,0.72,0.31,-0.01,27.70,25.8125,0,0,0,3.15,70.00
14677,-0.0844,0.0029,0.9968,0.79,0.45,-0.01,27.70,25.7500,0,0,0,3.15,70.00
14686,-0.0849,0.0063,0.9963,0.72,0.31,-0.01,27.70,25.7500,0,0,0,3.15,70.00
