ts_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,imu_temp_c,ambient_temp_c,freefall,logging,samples,battery_v,esp32_temp_c
25290,-1.0121,0.0049,-0.0163,2.81,0.58,0.02,22.80,21.5000,0,0,0,3.79,62.22
25299,-1.0121,0.0020,-0.0187,2.67,0.58,0.16,22.82,21.5000,0,0,0,3.79,62.78
25309,-1.0136,0.0034,-0.0182,2.67,0.65,0.16,22.82,21.5000,0,0,0,3.79,62.22
25328,-1.0106,0.0029,-0.0182,2.53,0.51,0.02,22.82,21.5000,0,0,0,3.78,62.78
25366,-1.0146,0.0029,-0.0099,2.67,0.58,0.09,22.79,21.5000,0,0,0,3.79,62.78
25395,-1.0160,0.0015,-0.0109,2.53,0.51,-0.05,22.79,21.5000,0,0,0,3.79,61.67
25434,-1.0141,0.0015,-0.0158,2.46,0.58,0.16,22.88,21.5000,0,0,0,3.79,63.33
25463,-1.0146,-0.0015,-0.0153,2.53,0.58,-0.05,22.83,21.5000,0,0,0,3.79,62.22
25520,-1.0102,0.0049,-0.0104,2.67,0.65,0.09,22.83,21.5000,0,0,0,3.79,61.11
25559,-1.0126,0.0049,-0.0172,2.60,0.51,0.09,22.81,21.5000,0,0,0,3.79,61.67
25597,-1.0111,0.0000,-0.0148,2.60,0.51,0.09,22.88,21.5000,0,0,0,3.79,63.33
25626,-1.0180,0.0024,-0.0128,2.53,0.58,0.09,22.80,21.5000,0,0,0,3.78,63.89
25664,-1.0136,0.0029,-0.0167,2.67,0.58,0.02,22.85,21.5000,0,0,0,3.79,63.89
25703,-1.0131,0.0015,-0.0143,2.67,0.58,-0.05,22.80,21.5000,0,0,0,3.79,63.89
25741,-1.0131,0.0020,-0.0153,2.81,0.51,0.02,22.83,21.5000,0,0,0,3.78,63.33
25770,-1.0165,0.0029,-0.0094,2.81,0.65,0.02,22.82,21.5000,0,0,0,3.79,63.89
25809,-1.0131,0.0020,-0.0123,2.74,0.58,0.02,22.82,21.5000,0,0,0,3.78,64.44
25847,-1.0116,-0.0015,-0.0128,2.74,0.58,-0.05,22.86,21.5000,0,0,0,3.79,64.44
25876,-1.0165,0.0015,-0.0089,2.60,0.65,0.02,22.85,21.5000,0,0,0,3.78,64.44
25914,-1.0131,0.0029,-0.0084,2.67,0.51,-0.05,22.82,21.5000,0,0,0,3.79,64.44
25943,-1.0131,-0.0020,-0.0099,2.53,0.44,0.09,22.83,21.5000,0,0,0,3.78,63.33
25982,-1.0180,0.0015,-0.0163,2.67,0.44,0.02,22.86,21.5000,0,0,0,3.78,65.00
26020,-1.0170,0.0000,-0.0148,2.53,0.65,0.09,22.87,21.5000,0,0,0,3.79,64.44
26049,-1.0155,-0.0005,-0.0163,2.60,0.51,0.09,22.81,21.5000,0,0,0,3.78,65.00
26087,-1.0131,0.0024,-0.0158,2.67,0.51,0.09,22.79,21.5000,0,0,0,3.79,65.00
26126,-1.0126,0.0029,-0.0089,2.53,0.51,0.09,22.84,21.5000,0,0,0,3.79,63.89
26155,-1.0077,0.0068,-0.0119,2.74,0.51,-0.05,22.79,21.5000,0,0,0,3.79,65.00
26193,-1.0131,0.0024,-0.0138,2.60,0.51,0.09,22.85,21.5000,0,0,0,3.79,63.89
26222,-1.0160,-0.0029,-0.0133,2.67,0.58,0.09,22.85,21.5000,0,0,0,3.79,65.00
26260,-1.0141,0.0024,-0.0114,2.74,0.58,0.16,22.85,21.5000,0,0,0,3.79,65.00
26299,-1.0111,0.0039,-0.0109,2.74,0.51,0.02,22.84,21.5000,0,0,0,3.78,64.44
26337,-1.0141,-0.0015,-0.0109,2.60,0.44,0.02,22.86,21.5000,0,0,0,3.79,65.00
26347,-1.0146,-0.0010,-0.0114,2.74,0.58,0.09,22.86,21.5000,0,0,0,3.77,65.00
26356,-1.0160,-0.0024,-0.0123,2.81,0.51,0.02,22.85,21.5000,0,0,0,3.79,65.00
26366,-1.0146,-0.0020,-0.0123,2.81,0.51,0.09,22.85,21.5000,0,0,0,3.79,65.00
26376,-1.0126,0.0005,-0.0099,2.60,0.51,0.02,22.88,21.5000,0,0,0,3.78,64.44
26385,-1.0131,0.0020,-0.0123,2.74,0.58,0.16,22.88,21.5000,0,0,0,3.79,65.00
26395,-1.0131,0.0039,-0.0123,2.74,0.51,0.09,22.83,21.5000,0,0,0,3.79,65.00
26405,-1.0126,0.0049,-0.0114,2.60,0.58,0.02,22.83,21.5000,0,0,0,3.79,65.56
26414,-1.0175,0.0015,-0.0133,2.60,0.58,-0.05,22.89,21.5000,0,0,0,3.78,63.89
26424,-1.0160,0.0020,-0.0133,2.74,0.58,-0.05,22.89,21.5000,0,0,0,3.79,65.56
26433,-1.0131,0.0024,-0.0182,2.67,0.58,0.02,22.86,21.5000,0,0,0,3.79,65.00
26443,-1.0131,0.0020,-0.0128,2.60,0.58,0.02,22.86,21.5000,0,0,0,3.79,65.00
26453,-1.0136,-0.0010,-0.0138,2.67,0.44,0.02,22.80,21.5000,0,0,0,3.78,65.00
26462,-1.0141,0.0000,-0.0158,2.60,0.51,0.09,22.80,21.5000,0,0,0,3.79,65.00
26472,-1.0146,-0.0010,-0.0138,2.60,0.51,0.02,22.84,21.5000,0,0,0,3.79,65.00
26481,-1.0160,0.0029,-0.0172,2.53,0.58,0.02,22.84,21.5000,0,0,0,3.78,65.56
26491,-1.0141,-0.0015,-0.0119,2.53,0.58,0.09,22.84,21.5000,0,0,0,3.79,65.56
26501,-1.0131,0.0010,-0.0133,2.53,0.51,0.09,22.84,21.5000,0,0,0,3.79,65.56
26510,-1.0102,0.0024,-0.0138,2.60,0.51,0.09,22.81,21.5000,0,0,0,3.78,65.00
26520,-1.0131,0.0020,-0.0123,2.60,0.51,0.02,22.81,21.5000,0,0,0,3.79,64.44
26530,-1.0155,0.0024,-0.0128,2.53,0.51,0.09,22.87,21.5000,0,0,0,3.79,65.00
26539,-1.0146,0.0005,-0.0128,2.60,0.65,0.02,22.87,21.5000,0,0,0,3.79,63.89
26549,-1.0160,0.0015,-0.0128,2.46,0.58,0.02,22.86,21.5000,0,0,0,3.79,65.56
26558,-1.0116,-0.0034,-0.0143,2.53,0.58,0.02,22.86,21.5000,0,0,0,3.78,65.00
26568,-1.0121,-0.0015,-0.0172,2.53,0.51,0.09,22.82,21.5000,0,0,0,3.78,63.89
26578,-1.0150,0.0010,-0.0109,2.60,0.51,0.09,22.82,21.5000,0,0,0,3.79,65.56
26587,-1.0175,0.0005,-0.0158,2.60,0.51,0.09,22.89,21.5000,0,0,0,3.78,65.56
26597,-1.0126,-0.0005,-0.0114,2.74,0.58,0.09,22.89,21.5000,0,0,0,3.79,64.44
26606,-1.0136,0.0000,-0.0119,2.67,0.51,-0.05,22.84,21.5000,0,0,0,3.77,65.00
26616,-1.0131,-0.0010,-0.0163,2.67,0.58,-0.05,22.84,21.5000,0,0,0,3.79,65.00
26626,-1.0111,0.0029,-0.0128,2.67,0.51,0.16,22.85,21.5000,0,0,0,3.79,65.00
26635,-1.0146,0.0034,-0.0123,2.60,0.51,0.09,22.85,21.5000,0,0,0,3.78,63.89
26645,-1.0111,0.0044,-0.0114,2.67,0.51,0.09,22.83,21.5000,0,0,0,3.79,65.00
26654,-1.0141,0.0020,-0.0104,2.60,0.58,0.09,22.83,21.5000,0,0,0,3.79,65.00
26664,-1.0141,0.0024,-0.0114,2.60,0.51,0.02,22.83,21.5000,0,0,0,3.78,65.00
26674,-1.0194,0.0054,-0.0143,2.60,0.58,0.02,22.83,21.5000,0,0,0,3.77,65.56
26683,-1.0102,0.0049,-0.0138,2.74,0.58,0.02,22.86,21.5000,0,0,0,3.79,65.56
26693,-1.0131,0.0034,-0.0143,2.67,0.51,0.02,22.86,21.5000,0,0,0,3.79,65.56
26703,-1.0165,0.0020,-0.0158,2.67,0.51,0.09,22.80,21.5000,0,0,0,3.78,65.00
26712,-1.0136,0.0015,-0.0109,2.67,0.58,0.02,22.80,21.5000,0,0,0,3.79,65.56
26722,-1.0121,0.0054,-0.0123,2.74,0.58,0.02,22.79,21.5000,0,0,0,3.77,63.89
26731,-1.0136,-0.0020,-0.0153,2.74,0.58,0.02,22.79,21.5000,0,0,0,3.79,63.89
26741,-1.0141,0.0005,-0.0128,2.67,0.44,0.02,22.80,21.5000,0,0,0,3.79,65.56
26751,-1.0146,0.0020,-0.0109,2.74,0.58,0.02,22.80,21.5000,0,0,0,3.79,65.56
26760,-1.0165,-0.0005,-0.0123,2.74,0.58,0.02,22.82,21.5000,0,0,0,3.79,65.56
26770,-1.0141,0.0049,-0.0138,2.60,0.51,0.02,22.82,21.5000,0,0,0,3.78,65.56
26779,-1.0175,0.0034,-0.0123,2.74,0.58,0.02,22.85,21.5000,0,0,0,3.79,65.00
26789,-1.0160,0.0044,-0.0148,2.60,0.58,-0.05,22.85,21.5000,0,0,0,3.78,65.00
