ts_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,imu_temp_c,ambient_temp_c,freefall,logging,samples,battery_v,esp32_temp_c
49543,-0.0044,-0.0195,-1.0093,-0.09,-0.66,-0.25,23.94,22.4375,0,0,0,3.57,58.33
49552,-0.0044,-0.0200,-1.0113,-0.30,-0.80,-0.11,23.94,22.4375,0,0,0,3.56,59.44
49572,-0.0044,-0.0210,-1.0098,-0.58,-0.73,-0.11,23.95,22.4375,0,0,0,3.57,59.44
49610,-0.0093,-0.0161,-1.0108,-1.28,-0.87,-0.11,23.99,22.4375,0,0,0,3.56,60.00
49639,-0.0127,-0.0146,-1.0147,-1.63,-0.52,-0.11,23.98,22.4375,0,0,0,3.55,59.44
49677,-0.0171,-0.0083,-1.0103,-1.63,0.11,0.03,23.98,22.3750,0,0,0,3.56,60.00
49706,-0.0127,-0.0088,-1.0079,-1.42,0.53,0.10,24.00,22.3750,0,0,0,3.55,60.56
49745,-0.0093,-0.0083,-1.0084,-1.21,0.60,0.10,23.96,22.3750,0,0,0,3.56,60.00
49783,-0.0054,-0.0088,-1.0088,-0.58,0.32,0.03,24.00,22.3750,0,0,0,3.56,60.56
49812,-0.0015,-0.0098,-1.0103,-0.44,0.04,0.03,23.95,22.3750,0,0,0,3.56,60.56
49850,-0.0024,-0.0102,-1.0069,-0.30,-0.31,-0.04,24.01,22.3750,0,0,0,3.55,60.00
49889,0.0015,-0.0166,-1.0088,-0.30,-1.08,0.03,24.00,22.3750,0,0,0,3.56,59.44
49918,0.0020,-0.0185,-1.0118,-0.44,-1.57,0.03,23.98,22.3750,0,0,0,3.56,60.00
49956,-0.0024,-0.0195,-1.0093,-0.93,-2.06,0.03,23.97,22.3750,0,0,0,3.56,61.11
49995,-0.0083,-0.0244,-1.0084,-1.49,-2.20,-0.04,23.96,22.3750,0,0,0,3.56,60.00
50023,-0.0044,-0.0220,-1.0069,-1.98,-2.34,0.03,23.97,22.3750,0,0,0,3.56,61.11
50062,-0.0063,-0.0185,-1.0113,-2.54,-2.62,-0.04,23.99,22.3750,0,0,0,3.56,60.00
50091,-0.0088,-0.0161,-1.0128,-2.75,-2.62,0.03,23.95,22.3750,0,0,0,3.56,61.11
50129,-0.0112,-0.0156,-1.0103,-2.82,-2.41,-0.04,23.95,22.3750,0,0,0,3.56,60.56
50168,-0.0098,-0.0107,-1.0093,-2.68,-2.34,-0.04,23.95,22.3750,0,0,0,3.56,61.67
50196,-0.0093,-0.0107,-1.0093,-2.33,-2.41,0.03,23.94,22.3750,0,0,0,3.56,61.11
50235,-0.0098,-0.0029,-1.0108,-1.84,-2.55,-0.11,23.91,22.3750,0,0,0,3.56,61.11
50264,-0.0107,-0.0068,-1.0118,-1.28,-2.27,-0.11,23.97,22.3750,0,0,0,3.56,62.22
50302,-0.0156,-0.0034,-1.0113,-0.58,-2.06,-0.04,23.95,22.3750,0,0,0,3.56,61.67
50341,-0.0117,-0.0049,-1.0093,0.05,-1.78,-0.11,23.94,22.3750,0,0,0,3.56,61.67
50369,-0.0142,-0.0083,-1.0108,0.47,-1.50,-0.25,23.96,22.3750,0,0,0,3.56,60.00
50408,-0.0117,-0.0112,-1.0103,0.96,-1.29,-0.18,23.98,22.3750,0,0,0,3.56,60.56
50446,-0.0156,-0.0146,-1.0069,1.17,-0.94,-0.11,23.97,22.3750,0,0,0,3.56,62.22
50475,-0.0142,-0.0166,-1.0108,1.03,-0.66,-0.25,23.98,22.3750,0,0,0,3.55,61.67
50514,-0.0107,-0.0185,-1.0084,0.75,-0.24,-0.25,23.96,22.3750,0,0,0,3.56,62.22
50552,-0.0117,-0.0185,-1.0103,0.26,-0.17,-0.25,23.95,22.3750,0,0,0,3.55,61.67
50581,-0.0117,-0.0195,-1.0103,-0.09,-0.10,-0.32,23.93,22.3750,0,0,0,3.56,62.22
50591,-0.0088,-0.0200,-1.0098,-0.23,-0.03,-0.25,24.02,22.3750,0,0,0,3.56,62.22
50600,-0.0098,-0.0210,-1.0079,-0.37,-0.03,-0.32,24.02,22.3750,0,0,0,3.56,60.56
50610,-0.0117,-0.0215,-1.0098,-0.58,-0.03,-0.32,23.95,22.3750,0,0,0,3.56,60.56
50619,-0.0098,-0.0161,-1.0079,-0.51,0.11,-0.39,23.95,22.3750,0,0,0,3.56,61.67
50629,-0.0063,-0.0142,-1.0128,-0.72,-0.03,-0.25,23.97,22.3750,0,0,0,3.55,62.22
50639,-0.0068,-0.0171,-1.0103,-0.86,0.04,-0.25,23.97,22.3750,0,0,0,3.56,62.22
50648,-0.0093,-0.0181,-1.0093,-0.86,0.04,-0.25,23.97,22.3750,0,0,0,3.56,62.22
50658,-0.0068,-0.0185,-1.0108,-1.00,-0.03,-0.32,23.97,22.3750,0,0,0,3.54,62.22
50667,-0.0059,-0.0161,-1.0093,-1.21,-0.10,-0.25,23.97,22.3750,0,0,0,3.55,61.67
50677,-0.0024,-0.0190,-1.0084,-1.21,-0.17,-0.18,23.97,22.3750,0,0,0,3.56,62.22
50687,-0.0039,-0.0161,-1.0103,-1.28,-0.24,-0.25,23.91,22.3750,0,0,0,3.56,61.67
50696,-0.0059,-0.0146,-1.0113,-1.35,-0.24,-0.32,23.91,22.3750,0,0,0,3.56,61.67
50706,-0.0049,-0.0137,-1.0084,-1.21,-0.31,-0.25,23.98,22.3750,0,0,0,3.56,62.22
50715,-0.0020,-0.0112,-1.0103,-1.21,-0.38,-0.25,23.98,22.3750,0,0,0,3.56,61.67
50725,-0.0063,-0.0161,-1.0069,-1.42,-0.52,-0.32,23.95,22.3750,0,0,0,3.56,62.22
50735,-0.0059,-0.0146,-1.0118,-1.35,-0.52,-0.32,23.95,22.3750,0,0,0,3.54,61.67
50744,-0.0088,-0.0117,-1.0103,-1.35,-0.52,-0.25,24.02,22.3750,0,0,0,3.55,61.67
50754,-0.0063,-0.0146,-1.0088,-1.21,-0.52,-0.18,24.02,22.3750,0,0,0,3.56,62.22
50764,-0.0098,-0.0142,-1.0103,-1.28,-0.45,-0.25,24.02,22.3750,0,0,0,3.56,61.67
50773,-0.0098,-0.0117,-1.0113,-1.28,-0.45,-0.25,23.93,22.3750,0,0,0,3.55,62.22
50783,-0.0117,-0.0127,-1.0108,-1.21,-0.38,-0.25,23.93,22.3750,0,0,0,3.56,62.22
50792,-0.0083,-0.0098,-1.0108,-1.28,-0.31,-0.25,23.93,22.3750,0,0,0,3.56,62.22
50802,-0.0127,-0.0117,-1.0093,-1.14,-0.10,-0.25,23.93,22.3750,0,0,0,3.56,62.22
50812,-0.0122,-0.0093,-1.0162,-1.21,-0.17,-0.25,23.93,22.3750,0,0,0,3.55,62.22
50821,-0.0137,-0.0117,-1.0113,-1.07,-0.03,-0.32,23.93,22.3750,0,0,0,3.56,61.67
50831,-0.0151,-0.0117,-1.0128,-1.00,0.04,-0.25,23.96,22.3750,0,0,0,3.56,62.22
50840,-0.0127,-0.0088,-1.0113,-0.93,0.18,-0.32,23.96,22.3750,0,0,0,3.56,62.22
50850,-0.0127,-0.0078,-1.0103,-0.86,0.11,-0.25,23.96,22.3750,0,0,0,3.56,62.22
50860,-0.0122,-0.0122,-1.0088,-0.79,0.32,-0.32,23.96,22.3750,0,0,0,3.55,62.22
50869,-0.0127,-0.0068,-1.0093,-0.72,0.39,-0.32,23.95,22.3750,0,0,0,3.56,62.22
50879,-0.0078,-0.0093,-1.0103,-0.51,0.39,-0.32,23.95,22.3750,0,0,0,3.56,62.22
50888,-0.0102,-0.0088,-1.0118,-0.37,0.46,-0.25,23.95,22.3750,0,0,0,3.56,60.56
50898,-0.0083,-0.0107,-1.0074,-0.30,0.46,-0.32,23.95,22.3750,0,0,0,3.56,62.22
50908,-0.0054,-0.0088,-1.0088,-0.09,0.46,-0.25,24.02,22.3750,0,0,0,3.56,62.22
50917,-0.0063,-0.0059,-1.0079,-0.16,0.39,-0.25,24.02,22.3750,0,0,0,3.55,62.22
50927,-0.0024,-0.0059,-1.0103,0.12,0.39,-0.32,24.02,22.3750,0,0,0,3.56,61.11
50937,-0.0044,-0.0068,-1.0123,0.26,0.25,-0.32,24.02,22.3750,0,0,0,3.56,62.22
50946,0.0000,-0.0059,-1.0074,0.26,0.04,-0.32,23.93,22.3750,0,0,0,3.56,62.78
50956,-0.0034,-0.0088,-1.0093,0.47,-0.03,-0.32,23.93,22.3750,0,0,0,3.56,61.67
50965,-0.0020,-0.0063,-1.0093,0.47,-0.10,-0.39,23.97,22.3750,0,0,0,3.55,62.78
50975,0.0005,-0.0083,-1.0103,0.61,-0.24,-0.25,23.97,22.3750,0,0,0,3.56,62.22
50985,-0.0005,-0.0127,-1.0069,0.68,-0.45,-0.32,23.99,22.3750,0,0,0,3.56,62.22
50994,-0.0068,-0.0122,-1.0113,0.68,-0.59,-0.32,23.99,22.3750,0,0,0,3.56,62.22
51004,-0.0063,-0.0107,-1.0088,0.68,-0.73,-0.25,23.98,22.3750,0,0,0,3.56,62.22
51013,-0.0098,-0.0132,-1.0059,0.82,-0.59,-0.25,23.98,22.3750,0,0,0,3.56,62.22
51023,-0.0107,-0.0132,-1.0118,0.82,-0.52,-0.39,23.95,22.3750,0,0,0,3.56,61.11
51033,-0.0161,-0.0190,-1.0093,0.75,-0.45,-0.32,23.95,22.3750,0,0,0,3.56,62.22
51042,-0.0156,-0.0185,-1.0088,0.75,-0.24,-0.25,23.96,22.3750,0,0,0,3.56,62.22
51052,-0.0205,-0.0176,-1.0084,0.68,-0.10,-0.25,23.96,22.3750,0,0,0,3.56,62.22
51062,-0.0166,-0.0181,-1.0093,0.47,0.04,-0.32,23.95,22.3750,0,0,0,3.56,62.22
51071,-0.0166,-0.0205,-1.0108,0.40,0.18,-0.25,23.95,22.3750,0,0,0,3.56,61.11
51081,-0.0127,-0.0215,-1.0108,0.19,0.32,-0.32,23.96,22.3750,0,0,0,3.56,62.22
51090,-0.0137,-0.0215,-1.0113,0.19,0.46,-0.39,23.96,22.3750,0,0,0,3.56,62.22
51100,-0.0098,-0.0185,-1.0113,0.05,0.53,-0.32,23.99,22.3750,0,0,0,3.56,62.22
51110,-0.0093,-0.0210,-1.0113,-0.09,0.53,-0.39,23.99,22.3750,0,0,0,3.56,62.78
51119,-0.0049,-0.0224,-1.0098,-0.30,0.53,-0.32,23.94,22.3750,0,0,0,3.56,61.11
51129,-0.0059,-0.0224,-1.0079,-0.37,0.46,-0.32,23.94,22.3750,0,0,0,3.55,62.78
51138,-0.0068,-0.0190,-1.0079,-0.51,0.39,-0.32,24.01,22.3750,0,0,0,3.56,62.78
51148,-0.0034,-0.0181,-1.0084,-0.51,0.39,-0.32,24.01,22.3750,0,0,0,3.56,62.22
51158,-0.0039,-0.0161,-1.0093,-0.72,0.25,-0.39,24.02,22.3750,0,0,0,3.56,62.78
51167,0.0015,-0.0181,-1.0064,-0.79,0.11,-0.32,24.02,22.3750,0,0,0,3.55,61.11
51177,0.0000,-0.0190,-1.0084,-0.86,-0.10,-0.25,23.98,22.3750,0,0,0,3.56,62.78
51186,0.0005,-0.0195,-1.0064,-1.00,-0.24,-0.32,23.98,22.3750,0,0,0,3.56,62.78
51196,0.0044,-0.0205,-1.0074,-1.00,-0.45,-0.39,23.97,22.3750,0,0,0,3.54,61.11
51206,0.0044,-0.0215,-1.0093,-1.21,-0.73,-0.39,23.97,22.3750,0,0,0,3.53,59.44
51215,0.0049,-0.0171,-1.0069,-1.28,-1.08,-0.39,24.02,22.3750,0,0,0,3.56,61.11
51225,0.0039,-0.0142,-1.0064,-1.35,-1.15,-0.32,24.02,22.3750,0,0,0,3.54,60.00
51235,0.0068,-0.0137,-1.0103,-1.49,-1.43,-0.39,23.93,22.3750,0,0,0,3.53,58.33
51244,0.0059,-0.0122,-1.0064,-1.42,-1.71,-0.39,23.93,22.3750,0,0,0,3.53,57.22
51254,0.0049,-0.0161,-1.0093,-1.42,-1.99,-0.46,23.92,22.3750,0,0,0,3.54,56.67
51263,0.0073,-0.0166,-1.0093,-1.56,-2.34,-0.39,23.92,22.3750,0,0,0,3.54,56.11
51273,0.0049,-0.0176,-1.0118,-1.56,-2.55,-0.32,23.96,22.3750,0,0,0,3.58,59.44
51283,0.0024,-0.0215,-1.0059,-1.70,-2.76,-0.39,23.96,22.3750,0,0,0,3.55,57.22
51292,0.0010,-0.0176,-1.0103,-1.77,-2.97,-0.39,24.00,22.3750,0,0,0,3.55,56.67
51302,-0.0044,-0.0171,-1.0074,-1.91,-3.11,-0.39,24.00,22.3750,0,0,0,3.55,56.11
51311,-0.0098,-0.0195,-1.0113,-1.98,-3.18,-0.46,23.95,22.3750,0,0,0,3.55,56.11
51321,-0.0137,-0.0137,-1.0093,-1.98,-3.04,-0.39,23.95,22.3750,0,0,0,3.55,55.56
51331,-0.0200,-0.0117,-1.0098,-1.84,-3.11,-0.46,23.95,22.3750,0,0,0,3.55,55.00
51340,-0.0190,-0.0142,-1.0103,-1.98,-2.83,-0.32,23.95,22.3750,0,0,0,3.56,56.11
51350,-0.0156,-0.0132,-1.0108,-1.98,-2.62,-0.32,23.98,22.3750,0,0,0,3.56,55.00
51359,-0.0190,-0.0137,-1.0142,-1.98,-2.41,-0.39,23.98,22.3750,0,0,0,3.56,55.00
51369,-0.0171,-0.0142,-1.0123,-2.05,-2.20,-0.39,23.97,22.3750,0,0,0,3.56,55.00
51379,-0.0151,-0.0127,-1.0108,-2.05,-2.06,-0.46,23.97,22.3750,0,0,0,3.56,55.00
51388,-0.0102,-0.0151,-1.0113,-2.05,-1.85,-0.32,23.96,22.3750,0,0,0,3.56,55.00
51398,-0.0132,-0.0146,-1.0103,-1.98,-1.85,-0.32,23.96,22.3750,0,0,0,3.56,54.44
51408,-0.0073,-0.0132,-1.0123,-1.98,-1.78,-0.39,23.98,22.3750,0,0,0,3.56,54.44
51417,-0.0059,-0.0107,-1.0093,-1.98,-1.85,-0.39,23.98,22.3750,0,0,0,3.57,54.44
51427,-0.0073,-0.0122,-1.0088,-1.84,-1.85,-0.39,23.98,22.3750,0,0,0,3.57,55.00
51436,-0.0054,-0.0068,-1.0093,-1.77,-1.92,-0.39,23.98,22.3750,0,0,0,3.57,54.44
51446,-0.0063,-0.0117,-1.0123,-1.70,-1.92,-0.39,23.96,22.3750,0,0,0,3.57,53.89
51456,-0.0142,-0.0088,-1.0108,-1.56,-1.92,-0.39,23.96,22.3750,0,0,0,3.57,53.89
51465,-0.0156,-0.0102,-1.0113,-1.49,-1.92,-0.46,23.96,22.3750,0,0,0,3.57,53.89
51475,-0.0112,-0.0098,-1.0113,-1.42,-1.85,-0.39,23.96,22.3750,0,0,0,3.58,55.00
51484,-0.0146,-0.0088,-1.0093,-1.35,-1.71,-0.39,24.00,22.3750,0,0,0,3.57,55.00
51494,-0.0181,-0.0107,-1.0093,-1.28,-1.57,-0.39,24.00,22.3750,0,0,0,3.57,55.00
51504,-0.0185,-0.0059,-1.0098,-1.21,-1.43,-0.39,23.96,22.3750,0,0,0,3.57,53.89
51513,-0.0146,-0.0059,-1.0103,-1.00,-1.29,-0.39,23.96,22.3750,0,0,0,3.57,54.44
51523,-0.0112,-0.0083,-1.0098,-0.93,-1.22,-0.39,23.96,22.3750,0,0,0,3.57,54.44
51532,-0.0122,-0.0073,-1.0123,-0.79,-1.15,-0.46,23.92,22.3750,0,0,0,3.57,53.89
51542,-0.0029,-0.0073,-1.0118,-0.65,-1.22,-0.46,23.92,22.3750,0,0,0,3.57,53.89
51552,-0.0034,-0.0078,-1.0088,-0.44,-1.29,-0.39,23.98,22.3750,0,0,0,3.57,53.33
51561,-0.0049,-0.0063,-1.0108,-0.51,-1.36,-0.39,23.98,22.3750,0,0,0,3.57,53.33
51571,0.0000,-0.0098,-1.0093,-0.51,-1.57,-0.46,23.97,22.3750,0,0,0,3.57,53.33
51581,0.0020,-0.0093,-1.0093,-0.37,-1.71,-0.39,23.97,22.3750,0,0,0,3.58,53.89
51590,0.0000,-0.0073,-1.0079,-0.23,-1.99,-0.46,23.96,22.3750,0,0,0,3.58,53.33
51600,0.0000,-0.0093,-1.0069,-0.16,-2.13,-0.39,23.96,22.3750,0,0,0,3.57,53.33
51609,-0.0020,-0.0098,-1.0088,-0.09,-2.20,-0.46,23.98,22.3750,0,0,0,3.58,53.33
51619,-0.0054,-0.0088,-1.0074,0.05,-2.34,-0.39,23.98,22.3750,0,0,0,3.58,53.33
51629,-0.0073,-0.0112,-1.0074,0.12,-2.34,-0.46,24.02,22.3750,0,0,0,3.58,53.33
51638,-0.0093,-0.0117,-1.0103,0.05,-2.41,-0.39,24.02,22.3750,0,0,0,3.58,52.78
51648,-0.0117,-0.0122,-1.0098,0.12,-2.27,-0.39,23.95,22.3750,0,0,0,3.58,53.33
51657,-0.0142,-0.0146,-1.0113,0.12,-2.27,-0.39,23.95,22.3750,0,0,0,3.58,53.33
51667,-0.0127,-0.0151,-1.0118,0.05,-2.13,-0.39,23.99,22.3750,0,0,0,3.58,53.33
51677,-0.0117,-0.0127,-1.0108,0.12,-2.06,-0.32,23.99,22.3750,0,0,0,3.58,53.33
51686,-0.0112,-0.0156,-1.0123,0.05,-1.92,-0.39,23.99,22.3750,0,0,0,3.58,54.44
51696,-0.0117,-0.0176,-1.0098,-0.09,-1.85,-0.46,23.99,22.3750,0,0,0,3.58,53.89
