timestamp,ax,ay,az,gx,gy,gz
2026-03-14 17:06:53.254146,10.087,0.577,-0.345,-0.0465,0.0269,0.02
2026-03-14 17:06:53.418522,10.211,0.314,-0.223,-0.0743,0.0388,0.0157
2026-03-14 17:06:53.562795,9.989,0.357,-0.29,-0.0534,0.0212,-0.016
2026-03-14 17:06:53.705463,10.063,0.472,-0.158,-0.0561,0.0043,-0.0512
2026-03-14 17:06:53.924469,10.02,0.431,-0.127,-0.0393,-0.0217,0.0553
2026-03-14 17:06:54.054189,10.056,0.534,-0.254,-0.0538,0.0261,-0.0009
2026-03-14 17:06:54.218895,10.233,0.407,-0.129,0.0165,0.0349,-0.0548
2026-03-14 17:06:54.416700,10.051,0.742,-0.318,-0.1872,-0.0682,0.047
2026-03-14 17:06:54.579397,10.151,0.345,-0.266,0.0405,-0.0208,-0.1455
2026-03-14 17:06:54.694002,10.202,0.611,-0.11,-0.0048,-0.0321,-0.0694
2026-03-14 17:06:54.816745,10.25,0.558,-0.163,-0.0266,0.0632,-0.1468
2026-03-14 17:06:54.951386,10.149,0.532,-0.208,-0.0573,-0.0386,-0.0204
2026-03-14 17:06:55.222723,10.106,0.469,-0.256,-0.1191,-0.0376,-0.0322
2026-03-14 17:06:55.572615,10.096,0.594,-0.388,-0.0706,0.0997,0.0727
2026-03-14 17:06:55.806138,10.384,0.795,-0.124,-0.0051,-0.0123,0.0542
2026-03-14 17:06:56.009672,10.343,0.215,-0.026,-0.0225,0.1745,0.1556
2026-03-14 17:06:56.191639,-1.92,0.192,1.262,-0.2284,-2.5678,0.6141
2026-03-14 17:06:56.391970,0.474,-0.057,0.134,-0.1792,-1.1566,0.7426
2026-03-14 17:06:56.568360,17.887,-3.318,-0.445,0.9737,0.5955,-0.0179
2026-03-14 17:06:56.754098,19.613,-3.953,3.371,0.3881,1.0996,-0.1881
2026-03-14 17:06:56.930456,8.018,-0.826,-0.227,-0.0923,0.0041,-0.0506
2026-03-14 17:06:57.049552,10.424,-1.403,0.124,-0.0566,0.0217,0.0212
2026-03-14 17:06:57.237521,10.19,-1.302,0.211,-0.0524,-0.0073,-0.0023
2026-03-14 17:06:57.391124,10.053,-1.415,0.117,-0.0514,0.0056,-0.0076
2026-03-14 17:06:57.528054,10.005,-1.302,0.139,-0.0506,0.012,-0.0201
2026-03-14 17:06:57.654244,10.173,-1.314,0.108,-0.0529,0.0001,-0.0185
2026-03-14 17:06:57.796101,10.01,-1.326,0.127,-0.0552,-0.0077,-0.0125
2026-03-14 17:06:58.049128,10.125,-1.118,0.22,-0.0541,-0.0061,-0.0003
2026-03-14 17:06:58.260346,10.025,-1.343,0.084,-0.0496,0.0087,-0.0209
2026-03-14 17:06:58.476598,10.123,-1.346,0.122,-0.0558,-0.0033,-0.0144
2026-03-14 17:06:58.754660,10.065,-1.262,0.153,-0.0505,0.0036,-0.0127
2026-03-14 17:06:58.980140,10.048,-1.288,0.093,-0.053,0.0061,-0.0175
2026-03-14 17:06:59.128364,10.077,-1.252,0.069,-0.0524,-0.0012,-0.0149
2026-03-14 17:06:59.319048,10.015,-1.393,0.122,-0.052,0.0065,-0.0185
2026-03-14 17:06:59.527499,10.036,-1.324,0.17,-0.0549,0.0032,-0.0145
2026-03-14 17:06:59.704044,10.034,-1.408,0.702,-0.0462,-0.0161,-0.0012
2026-03-14 17:07:01.658399,10.116,-1.403,-0.007,-0.0454,0.0189,-0.0056
2026-03-14 17:07:01.789258,10.044,-1.346,0.105,-0.0536,0.0004,-0.0065
2026-03-14 17:07:02.126913,10.046,-1.437,0.18,-0.0532,0.0009,-0.0105
2026-03-14 17:07:02.243568,10.089,-1.331,0.132,-0.0541,0.0028,-0.0077
2026-03-14 17:07:02.472658,9.974,-1.413,0.103,-0.055,0.0097,-0.014
2026-03-14 17:07:02.604210,10.029,-1.293,-0.002,-0.0538,-0.0077,-0.0228
2026-03-14 17:07:02.853893,9.962,-1.487,0.038,-0.0546,0.0051,-0.0221
2026-03-14 17:07:02.969735,9.883,-1.262,0.005,-0.0537,-0.0037,-0.0209
2026-03-14 17:07:03.354521,9.986,-1.384,0.113,-0.0533,-0.0019,-0.0141
